a,a:一|d:一道
slide fastener,"v:拉链,拉锁"
slide gauge,v:卡尺
slide guide,v:导轨
slide plate,v:滑板
slide projector,v:幻灯
slide rule,v:算尺
slide show,n:幻灯
slide way,v:滑道
slideway,n:滑道
sliding,v:滑动|n:滑动
sliding bearing,n:滑动轴承
sliding calipers,n:卡尺
sliding gauge,n:游标卡尺
sliding movement,n:滑动
sliding plate ring,n:垫圈
sliding rule,n:计算尺
sliding way,n:导轨
slifter,n:裂隙
slight,"a:轻微,微微,微|v:轻慢,怠慢,侮慢|n:轻侮,怠慢,忽视,侮辱,轻蔑|d:微微"
slight cold,n:小寒
slight corneal opacity,n:翳
slight fever,"n:低热,低烧"
slight gift,n:薄礼
slight heat,n:小暑
slight illness,n:病痛
slight one's duty,v:玩忽职守
slight pressure,n:低压
slight snow,n:小雪
slighting,v:亵渎
slightly,"d:稍,稍微,稍稍,略,略带,略微,略为,稍为,略略,差,薄,粗,些微|a:粗,薄|v:聊"
slightly better,a:略胜一筹
slightly inferior to,a:差点儿
slightly more than,c:强
slightly superior,a:略胜一筹
slightness,"n:稍微,些微"
slim,a:苗条|v:减肥
slime,"n:矿浆,粘土,烂泥,软泥,稀泥,沥青,堕落|v:糊,涂"
sliminess,n:滑溜
slim-jim,n:瘦子
slimming,n:减肥
sling,"n:吊带,吊索,弹弓|v:扔,投掷,吊环,吊索"
sling chain,n:吊链
sling dog,n:吊钩
sling lifting chains,v:吊链
sling out,n:滚蛋
sling rope,n:吊索
sling the bull,v:胡说八道
sling van,n:吊车
slinger,"n:吊索,吊环"
slinger ring,n:吊环
slingshot,n:弹弓
slink,"v:溜走,流产,潜逃,潜行,早产"
slink away,v:溜走
slink off,"v:溜号,溜之大吉"
slinky,a:贼溜溜
slip,"v:滑,溜,溜走,失足|n:山崩,条,过失,木条,纰漏,外衣,枕套,传票"
slip away,"v:溜,溜之大吉,逃之夭夭,逃跑|n:溜掉"
slip away unpunished,v:蒙混过关
slip board,n:滑板
slip by,"v:蒙混过关,荏苒"
slip gauge,n:块规
slip into,v:潜入
slip mountain,n:峦
slip of tongue,n:失言
slip off,v:摆脱
slip over,"v:套,遗"
slip point,n:道岔
slip ring,n:集流环
slip sheet,n:衬纸
slip something off,v:抹
slip the collar,v:逃脱
slip through,v:偷越
slip up,"v:失败,失误,跌交"
slipcase,n:书套
slipcover,"n:套子,书套,椅套"
slip-cover,n:套子
slipknot,"n:活结,活扣"
slip-on,n:套衫
slipover,n:套衫
slippage,"n:滑动,滑溜|v:滑动"
slipper,"n:拖鞋,便鞋|v:打"
slipper block,n:滑板
slippers,"n:便鞋,拖鞋"
slippery,"a:滑,狡猾,滑头,溜滑,油滑,滑溜,光溜溜,光溜"
slipping,v:滑动|n:转移
slipshod,a:随便
slipshod writing,n:拖泥带水
slipslop,a:淡|n:淡酒
slipstick,n:计算尺
slipup,"n:错误,失败,疏忽"
slipway,n:船台
slit,"v:扯裂,剐,切开,拉,剖开,豁|n:裂口"
slit of light,n:光带
slither,"v:扭动,滑行|n:滑动,滑行"
slithery,a:滑溜
slitter,n:切割机
sliver,"n:棉条,条子,裂片,薄片|v:切开,裂开"
slob,"n:烂泥,懒汉,笨蛋"
slobber,"v:垂涎,哭诉|n:口水,哭诉"
slog,"n:猛击,苦干|v:猛击,苦干"
slogan,"n:口号,短语,标语,呐喊"
slop,"n:废油,外衣,卧具,稀泥,警察,泥浆,水坑,罩衣|v:溢出"
slop oil,v:废油
slop over,v:溢出
slope,"n:大陆架,倾斜度|v:来,溜之大吉"
slope mine,v:斜井
slope off,"v:溜走,溜之大吉"
sloping,"v:侧,坡"
sloping fields,n:坡田
sloping road,n:坡道
sloppily,d:拖泥带水
sloppiness,"n:潮湿,懒散,泥泞"
sloppiness in work,n:马马虎虎
sloppy,"a:潦草,稀松,拖泥带水,邋里邋遢,马马虎虎,粗枝大叶|v:拖泥带水"
slops,"n:废水,污水,泔水"
slopwork,n:成衣
slosh,"n:烂泥,泥泞|v:搅动,扰动"
slot,"n:沟槽,切口,职位,足迹,空隙,位置,轨迹,狭缝"
sloth,"n:懒惰,懒散,树懒,怠惰"
slothful,"a:疏懒,懒"
slothfulness,n:怠惰
slotted lever,n:连杆
slouch,"v:懒散,耷拉,搭拉|n:帽檐,下垂"
slouching,"a:懒洋洋,没精打采"
slough,"n:泥沼,腐肉|v:结痂,蜕皮,逮捕,坍塌"
slough off,"v:删除,蜕化,蜕"
slovak,n:斯洛伐克
slovakia,n:斯洛伐克
sloven,n:懒鬼
slovenia,n:斯洛文尼亚
slovenly,"a:邋遢,不修边幅,潦草|v:拖泥带水|d:苟且"
slow,"a:慢,缓慢|v:减却|d:缓慢"
slow coach,"n:木头人儿,笨伯"
slow dance,n:怠工
slow death,n:衰老
slow down,"v:减速,减却,怠工,减缓"
slow down attack,v:缓冲
slow fire,n:微火
slow in motion,v:慢条斯理
slow in movement,v:迂缓
slow intermittent pulse,n:代脉
slow match,n:导火线
slow motion,n:慢动作
slow moving,v:肉
slow of speech,"v:讷,木讷,笨口拙舌"
slow pulse,n:迟脉
slow rhymed term,n:慢词
slow up,v:减速
slowdown,"n:减速,减退,减缓"
slower,a:减慢
slowly,"d:慢慢,缓缓,慢吞吞,徐徐,慢悠悠,冉冉,迟迟"
slowly rising steam,n:皋
slowness,n:缓慢
slowpoke,"n:慢性子,笨伯"
slow-witted,a:愚钝
slub,v:粗纺
slubber,v:敷衍了事
sludge,"n:泥,烂泥,泥肥,泥浆,渍,淤泥,胡说,软泥|v:渍"
sludge gas,n:沼气
slue,"n:大量,许多,回转|v:回转"
sluefoot,n:侦探
slug,"n:蛞蝓,子弹,鼻涕虫,刮痕,毛坯,铅条,芯子,芯片,懒汉,蜒蚰|v:铁心"
slugfest,n:拳赛
sluggard,n:懒汉
sluggish,"a:迟缓,懒散,呆滞,慢腾腾,懒,慢慢腾腾,拖拉,懈怠,拖沓,滞,迟滞"
sluggishly,"d:慢腾腾,慢慢腾腾"
sluggishness,"n:惰性,惯性"
sluice,"n:渡槽,源泉,水门,闸口,蓄水|v:流出,奔流,排放"
sluice gate,"n:闸门,阏,闸"
sluicing,v:冲刷
slum,"n:贫民窟,贫民区"
slum area,n:贫民区
slum quarter,n:贫民窟
slumber,"v:睡眠,睡觉|n:睡梦,熟睡,安眠"
slumber away,v:休止
slumberland,n:梦乡
slum-dweller,n:棚户
slumgum,n:渣滓
slummage,n:沉渣
slump,"v:萧条,狂跌,暴跌,不景气,衰败|n:消沉,萎靡"
slumped,v:疲软
slumping,v:萧条
slur,"v:藐视,轻视,诽谤,诬蔑,隐瞒,掩饰,中伤,忽略|n:诬蔑,污点,耻辱,毁谤,污辱,模糊不清"
slur over,"v:含糊其词,藐视,忽略"
slurry,"n:泥浆,溏,膏剂,水泥浆"
slush,"n:雪水,贿赂,淤泥,脂膏|v:冲洗"
slushy,a:泥泞
slut,"n:妓女,荡妇,蜡烛"
sluttery,"n:放荡,淫荡,懒惰"
sly,"a:狡猾,刁滑,猾,狡滑,刁,狡黠,诡"
sly customer,n:滑头
slype,n:走廊
smack,"n:味,风味,气味,些微,海洛因,滋味,少量,鼓舌,接吻,渔船|d:猛地|v:掴|a:少量"
smack one's lips,"v:吧唧,咤,吧嗒,眉飞色舞"
smacker,"n:一元,嘴巴,嘴唇"
smalite,n:高岭石
small,"a:小,微小,管,毛,薄,子,窄小,次要,窄巴|n:儿童,寸"
small advantages,"n:便宜,相应"
small amount,n:一点儿
small bag,n:荷包
small bird,n:小鸟
small bits,n:鳞爪
small box,n:匣子
small bridge,n:杠
small but complete,n:具体而微
small but effective,n:短小精悍
small case,n:匣子
small change,"n:零钱,找头,零头,琐事"
small cicada,n:螗
small coal,n:煤屑
small comment,n:短评
small coterie,n:小圈子
small cup,n:盏
small cymbal,n:镲
small cymbals,n:镲
small dish,"n:碟,碟子"
small family,n:小家庭
small faults,n:白璧微瑕
small fellow,n:小个子
small fish,n:鲰
small fort,n:堡
small gain,n:小便宜
small gift,n:小意思
small grains,n:沙子
small grievance,n:睚眦
small group,n:小分队
small holding,n:弹丸之地
small hole,"n:窟窿眼儿,眼"
small household affairs,n:家长里短
small incidental expense,n:零用
small incidental expenses,n:零用
small intestine,n:小肠
small island,n:屿
small items,n:小商品
small lake,"n:泡,潭"
small melon,n:瓞
small mound,n:垤
small mouse,n:鼷鼠
small number,n:小数
small opening,n:孔隙
small owners,n:小业主
small particles,n:粒
small pit,n:窝窝
small place,n:弹丸之地
small plate,"n:碟子,碟"
small potato,n:小人物
small present,n:薄礼
small profit,n:薄利
small profits,n:薄利
small rain,n:牛毛雨
small reservoir,"n:塘坝,塘堰"
small retailer,n:商贩
small room,"n:小屋,斗室"
small rowboat,n:划子
small scale,n:小型
small scaled,v:小型
small shell,n:炮子儿
small shrimp,n:虾米
small side door,n:角门
small stone,n:石头子儿
small stream,n:溪
small suitcase,n:箧
small sword,n:小刀
small talk,"n:闲话,聊天儿,胡扯"
small things,n:一针一线
small thistle,n:小蓟
small town,"n:鄙,市集"
small towns,n:乡镇
small trick,n:雕虫小技
small vehicle,n:车子
small wares,n:杂货
small-bore,a:小口径
smallclothes,"n:短裤,小衣裳"
smaller part,n:小半
smaller than,a:小于
small-fruited fig tree,n:榕
small-mouthed jar,n:罂
smallness,n:小
small-peasant economy,n:小农经济
smallpox,"n:天花,花,痘,痘疮"
smallpox pustule,"n:痘疮,牛痘"
smallpox vaccination,n:种痘
smalls,n:粉末
small-scale production,n:小生产
smallshot,n:小人物
small-sized,a:小型
small-sized newspaper,n:小报
small-sized photograph,"n:小影,小照"
small-talk,n:闲聊
smallware,n:小商品
smallwares,n:杂货
smaltite,"n:召集,集合"
smarm,v:掩饰
smart,"a:漂亮,聪明,机灵,帅,时髦|n:苦痛,愤慨,悲痛,聪敏,神|v:杀,刺痛"
smart aleck,"n:自作聪明,刚愎自用"
smart chance,n:大量
smart chap,n:猴儿精
smarten,v:打扮
smash,"v:粉碎,打碎,猛击,打破,摧毁|n:破碎"
smash into,v:碰撞
smash together,v:相撞
smashed to pieces,a:稀烂
smashed to smithereens,a:稀烂
smashup,"n:惨败,破碎,破灭,粉碎,失败,崩溃"
smatter,v:一知半解
smattered,"v:二把刀,半瓶醋"
smatterer,"n:半吊子,二把刀,半瓶醋,二百五"
smattering,"n:一知半解,少量,少数,皮毛"
smear,"v:诽谤,抹|n:污迹,涂料,污渍"
smear blood,v:歃血
smear over,v:涂抹
smear with,v:刮
smear word,v:绰号
smell,"n:气味|v:发觉,查出,领略|a:臭"
smell bad,v:难闻
smell good,v:好闻
smell of mould,n:霉气
smell out,v:查出
smell unpleasant,v:难闻
smeller,"n:触须,鼻子,触角"
smelling,n:嗅觉|v:嗅觉
smelling of fish,n:腥膻
smelling of urine,n:腥臊
smelly,a:臭
smelly gland,n:臭腺
smelt,"v:熔化,熔炼,精炼,炼,冶炼,提炼"
smelt iron,v:炼铁
smelt metals,v:炀
smelter,"n:熔炉,熔铸工"
smelting,"v:熔化,熔炼"
smelting furnace,n:熔炉
smelting point,n:熔点
smidgen,n:一丁点儿
smidgin,n:少量
smile,"v:笑,微笑|n:喜气"
smile at,v:一笑置之
smile away,v:一笑置之
smile broadly,"v:笑容可掬,春风满面,满面春风"
smile gently,v:嫣然一笑
smile happily,"v:眉开眼笑,喜笑颜开"
smile obsequiously,v:赔笑
smile one's welcome,v:笑脸相迎
smile slightly,v:浅笑
smile through tears,n:破涕为笑
smile wanly,v:惨笑
smiled unreservedly,v:笑容可掬
smiling,"a:笑呵呵,笑盈盈"
smiling broadly,"n:笑嘻嘻,粲然,笑吟吟"
smiling expression,"n:笑貌,笑意,笑影"
smiling face,"n:笑貌,笑靥"
smiling happily,n:笑吟吟
smiling most courteously,n:笑容可掬
smiling tiger,n:笑面虎
smilingly,"d:带笑,咪咪,含笑|a:笑眯眯"
smirch,"v:沾污,损坏|n:污点"
smirk,v:傻笑
smite,"v:侵袭,袭击,打,击败,杀死,遭殃,撞,破坏|n:一点儿,猛击,尝试,打,打击"
smite dead,v:打死
smith,"n:史密斯,铁匠,锻工,小炉匠"
smith forging,n:锻造
smithereens,n:碎片
smithers,n:碎片
smithery,"n:铁匠,锻工"
smithing,v:锻造
smithy,"n:锻工,铁匠"
smock,"n:罩衣,罩衫,工作服"
smog,"n:烟雾,浓雾"
smoke,"v:吸烟|n:浮尘,空谈"
smoke bomb,n:烟幕弹
smoke curing,v:熏制
smoke curtain,v:烟幕
smoke dust,v:烟尘
smoke engine,v:蒸气机
smoke fog,"v:烟雾,浓雾"
smoke helmet,"v:救火,防毒面具"
smoke mask,"v:防毒面具,救火"
smoke out,v:查出
smoke pine,v:烟筒
smoke pipe,v:烟筒
smoke signal,"v:象征,征兆,狼烟"
smoke the calumet,v:言归于好
smoke the calumet together,v:和睦相处
smoke tobacco,v:吞云吐雾
smoke tree,n:栌
smoke up,v:轰炸
smoke wagon,v:手枪
smoked fish,n:熏鱼
smoked jujube,n:乌枣
smoked meat,n:熏肉
smoked plum,n:乌梅
smokeless coal,n:白煤
smoker,n:吸烟室
smokery,n:吸烟室
smokescreen,n:烟幕
smokestack,n:烟筒
smokey,n:警察
smokily,d:烟雾弥漫
smoking,"n:吸烟,抽烟,冒烟|v:冒烟,抽烟"
smoking gun,n:铁证
smoking paraphernalia,n:烟具
smoking pipe,n:旱烟袋
smoking room,n:吸烟室
smoky,a:冒烟
smoky quartz,n:墨晶
smolder,"v:燃烧,郁积"
smooch,"v:爱抚,接吻,拥抱|n:污迹"
smooth,"a:光滑,平坦,顺利,平滑|v:抿,溜,舒展,粉饰|n:抚平,草原"
smooth away,v:排除
smooth going,n:顺利
smooth muscle,n:平滑肌
smooth out,"v:铺平,舒展"
smooth over,v:克服
smooth sailing,n:一帆风顺
smooth slope,n:陵迟
smooth thing,n:恭维
smooth things over,n:打圆场
smooth tongue,n:油嘴滑舌
smooth-going,a:平顺
smoothing,v:滤波
smoothing iron,n:烙铁
smoothly,"d:顺利,自如,顺顺当当,顺手,流利|a:顺顺当当,自如"
smooth-tongued,a:油嘴滑舌
smorgasbord,n:大杂烩
smotch,n:污点
smother,"v:窒息,覆盖,掩盖,透不过气,扼杀,熏,冒烟,蒸,憋|n:冒烟,制止,抑制"
smother one's annoyance,v:忍气吞声
smother up,"v:隐蔽,不了了之,掩盖"
smotheration,v:窒息
smoulder,v:郁积
smouldering,v:郁积
smouse,n:商贩
smudge,"n:污迹,污点"
smudgily,d:污点
smudginess,"n:污迹,脏污"
smug,"a:沾沾自喜|v:衣冠楚楚,沾沾自喜|n:书呆子"
smug calculations,n:如意算盘
smuggle,"v:走私,偷运,夹带"
smuggled goods,"n:水货,私货"
smuggled money,n:黑钱
smuggler,"n:走私者,走私犯,走私船"
smuggling,n:走私
smut,"n:污物,黑粉病,黑穗病,煤尘,污点,煤灰"
smutch,"n:污物,污点,污迹,尘垢"
smuttiness,n:脏污
snack,"n:点心,小吃,快餐,分派"
snack bar,n:小吃店
snack counter,v:快餐部
snack meal,n:快餐
snack shop,n:小吃店
snacks,"n:零食,小卖|v:中不溜儿"
snaffle,v:偷|n:嚼子
snafu,v:搅乱
snag,"v:阻挠,分叉,抽丝,妨碍,阻碍|n:钉子"
snagging,v:打磨
snail,"n:蜗牛,田螺,蜗,螺"
snails,n:钉螺
snake,"v:扭转,拖,弯曲,拉|n:蛇,长虫,威士忌酒"
snake butter,n:冬菇
snake cube,n:魔棍
snake gourd,"n:丝瓜,菜瓜"
snake head,n:黑鱼
snake headed fish,v:黑鱼
snake island,n:蛇岛
snake melon,n:越瓜
snake pit,n:精神病院
snake venom,n:蛇毒
snakehead,"n:鳢,乌鱼,黑鱼,乌鳢"
snakehead fish,n:乌鱼
snakeheaded fish,n:乌鱼
snakelike,n:蛇形
snake's tongue,n:芯
snakeskin,n:蛇皮
snakestone,n:菊石
snap,"v:咬,断|n:快照,精力,弹指,急变,劲头,猛扑,按扣,气力,元气|d:突然,嘎,喀嚓|a:少量"
snap at,"v:责骂,咬"
snap bean,"n:菜豆,豆荚,云豆"
snap fastener,v:摁扣儿
snap out,v:放出
snap short,v:折断
snap the fingers,v:打榧子
snapdragon,"n:火钳,金鱼藻"
snap-fastener,n:按扣儿
snapper,"n:车钩,红鱼,牙齿"
snappers,n:烧酒
snaps,n:烧酒
snapshot,n:快照
snare,"n:圈套,陷阱|v:陷害"
snarl,"n:咆哮,混乱,纠纷,谩骂|v:骂,扭结"
snarls,"v:扭结,卷曲"
snarl-up,n:阻塞
snatch,"v:抓住|n:抓举,诱拐"
snatch a moment,"v:偷闲,偷空"
snatch at,v:抓住
snatch up,v:抢夺
sneak,"v:告发,潜行,隐藏,潜逃,偷窃|n:溜走,小偷"
sneak attack,v:奇袭
sneak away,"v:潜逃,溜号"
sneak in,v:潜入
sneak into,v:潜入
sneak off,"v:开小差,溜"
sneak thief,n:小偷
sneakers,"n:球鞋,胶鞋"
sneaking,"a:鬼鬼祟祟,鬼祟,偷偷摸摸"
sneer,"v:嘲笑|n:冷语,鄙视"
sneer at,"v:嗤笑,嘲笑,耻笑,讥诮,嘲讽,笑话"
sneeze,"n:喷嚏,打喷嚏,轻视,嚏喷|v:打喷嚏"
sneezer,n:鼻子
sneezing,v:喷嚏|n:喷嚏
snick,"v:削,猛击|n:刻痕,削球"
snicker,"v:暗笑,窃笑,嘶叫"
snickersnee,n:短刀
snicker-snee,n:砍刀
snicks,n:细节
sniff,"v:嗅,闻|n:吸,嗅"
snifter,"n:吸,闻,暴风|v:闻,吸气,嗅"
snigger,"v:暗笑,噗嗤|n:窃笑,鱼叉|d:扑哧"
sniggle,v:钓
snip,"n:片断,分摊|v:剪"
snipe,"n:烟头,沙锥,烟蒂,鹬,狙击|v:中伤"
sniper,n:狙击手
sniper's shot,"n:冷枪,冷箭"
snippet,n:摘录
snipping,v:碎片
snitch,"v:偷窃,偷,小偷小摸,扒,告密|n:贼,小报告"
snivel,"n:假话,哭鼻子,哭诉,鼻涕|v:哭诉,哭鼻子"
snob,"n:势利眼,势利小人,工贼"
snob appeal,n:派头
snobbery,"n:势利,附庸风雅"
snobbish,a:势利
snobbish attitude,n:势利眼
snobbishness,"n:势利眼,炎凉"
snood,n:发网
snooker,n:台球
snoop,"v:探听,管闲事,窥探,偷窃|n:管闲事"
snoot,"n:脸,前缘,鼻,鬼脸,鼻子|v:讥笑"
snooty,a:骄傲
snooze,"n:午睡,打瞌睡|v:打瞌睡"
snore,v:打呼噜|n:呼噜
snore away soundly,v:鼾睡
snore piece,v:吸管
snoring sound,n:鼾声
snort,"v:哼哼,哼唧,吸入|n:响鼻,鼻息|i:哼"
snorter,n:申斥
snot,n:鼻涕
snot moth,n:螟蛾
snot-rag,n:手帕
snout,"n:嘴,鼻子,吸盘,口吻"
snout moth,n:螟蛾
snout moth's larva,"n:螟,螟虫"
snow,"n:雪,积雪,下雪|v:降雪"
snow blindness,n:雪盲
snow bluestone,n:硫酸铜
snow broth,n:雪水
snow capped mountain,v:雪山
snow cover,n:积雪
snow field,n:雪原
snow flood,n:桃汛
snow lotus,n:雪莲
snow mantle,n:积雪
snow mountain,n:雪山
snow panther,n:雪豹
snow shower,n:阵雪
snow slide,n:雪崩
snow water,n:雪水
snow weasel,n:银鼠
snow white,"v:皑皑,皑"
snowball,n:雪球|v:打雪仗
snowball rumours,v:以讹传讹
snowballing gurus,n:驴打滚
snowballing usury,n:驴打滚
snowberg,n:雪山
snowblindness,n:雪盲
snow-broth,n:雪水
snow-covered landscape,n:雪景
snowdrift,n:雪堆
snowfall,n:降雪
snowfield,"n:雪原,雪地"
snowflake,"n:雪花,雪片"
snowflea,n:跳虫
snowland,n:雪原
snowman,n:雪人
snows,n:积雪
snowslide,v:雪崩|n:雪崩
snowslip,n:雪崩
snowstorm,"n:暴风雪,雪暴"
snowsuit,n:冬装
snow-white,a:雪白
snowy,a:白皑皑
snowy white,n:雪白
snub,"v:冷落,怠慢,责骂|n:斥责"
snub somebody,v:嗤之以鼻
snubber,"n:减声器,减震器,缓冲器"
snub-nosed monkey,n:金丝猴
snuff,"n:鼻烟,烛花|v:愤怒"
snuff bottle,v:鼻烟壶
snuffbox,n:鼻烟盒
snuff-colored,n:黄褐色
snuffer,n:海豚
snuffle,"v:嗅,闻|n:鼻音"
snuffling,v:齉
snug,a:舒适|v:隐藏|n:小康
snuggery,"n:酒吧间,书房"
snuggle,"v:依偎,挨近"
snuggle up to,"v:依偎,贴,偎依"
so,"d:这样,这么,那么,很,如此,非常,那样,十分|c:故,故而,于是乎|r:这个,这么,约|i:好|n:底"
so as not to,p:为了不
so as to,"p:以,以便,为了,好,用以,以致,庶"
so called,"v:所谓,通称"
so far,"a:迄今,迄今为止,至今,迄"
so far from,"p:与其,绝非"
so few,r:那么点儿|a:这么点儿|n:那么点儿
so i am,c:是
so little,r:那么点儿|n:那么点儿|a:这么点儿
so long,"i:再见,再会"
so many,"a:如此,那么些,如许,这么些"
so much,"n:多少,那么些,这么些|a:如许"
so much for,p:到此为止
so much more,n:更加
so often,d:经常
so so,a:不怎么样
so that,"c:好,因此,以致,以至于,甚至于,为着,庶"
so that's why,c:怪不得
so then,a:从而
so to say,"v:如同,好比"
so to speak,"v:如同,好比"
so vain,a:自以为是
soak,"v:泡,浸|n:浸渍,浸,浸泡|d:渐"
soak seeds,v:浸种
soak thoroughly,v:淋漓尽致
soak through,v:浸透
soak up,v:吃
soakage,"n:浸,泡,浸泡,浸渍|v:浸渍"
soaked bean-noodles,n:水粉
soaked beans,v:豆嘴儿
soaked through,v:落汤鸡
soaker,"n:透雨,倾盆大雨,大雨"
soaking of seeds,n:浸种
soaking rain,"n:饱雨,透雨"
soaking seed,n:浸种
soaking stove,n:均热炉
so-and-so,n:相当
soap,"n:肥皂,皂|v:奉承"
soap addict,n:连续剧
soap earth,n:滑石
soap powder,n:肥皂粉
soapbox,v:煽动
soapstone,n:滑石
soapwort,n:肥皂
soar,"v:飞涨,翱翔,高耸,暴涨,滑翔,猛增,耸立,向上,腾飞,屹立,飞腾,激增,腾,腾空|n:翱翔|a:腾贵"
soar aloft,"v:飞黄腾达,凌"
soar into,v:进入
soaring,"v:翱翔,滑翔|a:高耸入云,冲天"
sob,"v:哭,啜泣,呜咽|n:抽噎,畜生"
sob loudly,v:放声大哭
sob out,v:哭诉
sob without restraint,v:泣不成声
sober,"a:清醒,稳重|v:醒,不苟言笑"
sober up,"v:醒,醒酒"
sobriety,"n:节制,清醒,沉着,认真,稳健,谨严,冷静"
sobriquet,n:绰号
so-called,a:所谓
soccer,n:足球
sociability,n:和气
sociable,n:联谊会
social,n:联谊会|v:群居
social activities,n:社会活动
social being,n:社会存在
social connections,"n:门道,门径"
social consciousness,n:社会意识
social contact,n:社交
social custom,n:风俗
social dance,n:交谊舞
social dancing,"n:交谊舞,交际舞"
social disease,n:花柳病
